payment_id,order_id,paid_on,amount,method
138,163,2024-05-05,4900.0,upi
139,164,2024-05-10,42350.0,cod
140,165,2024-05-12,81230.0,wallet
141,166,2024-05-06,15100.0,card
142,167,2024-05-21,390400.0,cod
143,168,2024-05-21,10030.0,card
144,169,2024-05-06,94800.0,card
145,170,2024-05-08,56000.0,upi
146,171,2024-05-11,209120.0,card
147,172,2024-06-19,70300.0,card
148,173,2024-06-28,59280.0,upi
149,174,2024-06-21,104700.0,cod
150,175,2024-06-09,423000.0,card
151,176,2024-06-05,10640.0,cod
152,177,2024-06-26,119500.0,card
153,178,2024-06-16,71850.0,upi
154,180,2024-06-16,3207.5,upi
155,181,2024-06-13,29280.0,upi
156,185,2024-07-30,19680.0,upi
157,186,2024-07-30,44775.0,cod
158,187,2024-07-30,4050.0,netbanking
159,188,2024-07-17,260500.0,upi
160,190,2024-08-01,13860.0,upi
161,191,2024-07-07,47150.0,cod
162,192,2024-07-15,2520.0,wallet
163,193,2024-07-09,97600.0,cod
164,194,2024-07-23,11210.0,netbanking
165,195,2024-07-25,124515.0,upi
166,196,2024-07-27,55010.0,upi
167,197,2024-07-26,3200.0,card
168,198,2024-07-17,44170.0,upi
169,199,2024-07-19,12825.0,card
170,200,2024-07-15,1900.0,netbanking
171,201,2024-07-27,6400.0,upi
172,202,2024-08-25,41855.0,upi
173,204,2024-08-23,177260.0,card
174,205,2024-08-11,3200.0,card
175,206,2024-08-29,4460.0,upi
176,208,2024-08-28,28800.0,netbanking
177,209,2024-08-10,40720.0,upi
178,210,2024-08-20,28800.0,upi
179,211,2024-08-11,89140.0,card
180,212,2024-08-21,724900.0,wallet
181,215,2024-08-30,53900.0,upi
182,216,2024-08-31,93000.0,upi
183,217,2024-08-14,82300.0,upi
184,218,2024-08-26,123905.0,upi
185,219,2024-09-07,20700.0,upi
186,222,2024-09-19,156200.0,upi
187,223,2024-09-23,255830.0,card
188,224,2024-09-23,17910.0,wallet
189,225,2024-09-04,502000.0,upi
190,226,2024-09-04,196980.0,card
191,227,2024-10-01,261660.0,upi
192,228,2024-09-20,170950.0,card
193,229,2024-09-06,2380.0,wallet
194,230,2024-09-13,14960.0,upi
195,232,2024-09-04,63540.0,upi
196,234,2024-09-23,92155.0,netbanking
197,235,2024-10-24,147625.0,wallet
198,238,2024-10-24,39220.0,card
199,239,2024-10-18,5400.0,card
200,240,2024-10-11,137050.0,upi
201,241,2024-10-02,82620.0,upi
202,242,2024-10-31,82710.0,card
203,243,2024-10-03,133820.0,card
204,244,2024-10-26,450.0,upi
205,245,2024-10-12,194202.5,card
206,247,2024-10-13,15400.0,upi
207,248,2024-10-07,23980.0,upi
208,249,2024-10-31,220755.0,netbanking
209,250,2024-10-22,39110.0,card
210,251,2024-10-12,23002.5,upi
211,252,2024-11-07,7300.0,card
212,254,2024-11-14,86650.0,upi
213,256,2024-11-27,37350.0,upi
214,257,2024-11-07,77700.0,upi
215,258,2024-11-19,187000.0,upi
216,260,2024-11-23,105800.0,cod
217,261,2024-11-21,240655.0,card
218,262,2024-11-19,94400.0,card
219,263,2024-11-16,35960.0,upi
220,264,2024-11-19,46310.0,upi
221,265,2024-11-12,18572.5,netbanking
222,267,2024-11-23,102600.0,netbanking
223,268,2024-11-13,116040.0,upi
224,269,2024-11-29,32300.0,card
225,270,2024-11-10,288905.0,card
226,271,2024-11-29,24700.0,upi
227,273,2024-11-08,16502.5,upi
228,274,2024-11-18,139550.0,upi
229,277,2025-01-02,38000.0,cod
230,278,2024-12-06,16800.0,cod
231,279,2025-01-03,22525.0,upi
232,280,2024-12-18,156000.0,netbanking
233,281,2024-12-29,34000.0,upi
234,282,2024-12-06,21505.0,upi
235,284,2024-12-19,86000.0,card
236,285,2024-12-31,55750.0,upi
237,286,2024-12-27,218755.0,netbanking
238,287,2024-12-20,3825.0,card
239,289,2024-12-13,82600.0,upi
240,290,2024-12-08,56450.0,upi
241,291,2024-12-12,40800.0,upi
242,292,2024-12-25,176415.0,card
243,294,2024-12-04,8400.0,upi
244,295,2024-12-10,279580.0,upi
245,297,2024-12-03,249410.0,cod
246,298,2024-12-11,152027.5,upi
247,299,2024-12-23,16985.0,card
248,300,2024-12-07,124600.0,card
