order_item_id,order_id,product_id,quantity,unit_price,discount
64,33,5,2,142000.0,0.0
65,34,14,1,18900.0,0.0
66,34,31,1,11200.0,0.0
67,34,18,2,2400.0,0.0
68,35,36,1,86000.0,0.0
69,35,37,2,15400.0,0.0
70,36,23,1,1800.0,0.0
71,36,32,3,7300.0,0.0
72,37,29,1,56000.0,0.0
73,38,12,1,6800.0,0.05
74,38,2,1,99000.0,0.0
75,38,24,1,2900.0,0.0
76,39,12,1,6800.0,0.15
77,39,23,1,1800.0,0.1
78,39,37,1,15400.0,0.0
79,40,7,3,48000.0,0.0
80,40,17,1,950.0,0.0
81,40,19,1,4900.0,0.0
82,41,4,1,54000.0,0.0
83,41,8,1,79000.0,0.0
84,41,10,1,19900.0,0.0
85,42,36,1,86000.0,0.0
86,43,7,1,48000.0,0.05
87,44,1,2,62000.0,0.0
88,44,37,1,15400.0,0.0
89,45,38,2,2800.0,0.0
90,45,39,3,10900.0,0.0
91,46,10,1,19900.0,0.05
92,46,17,1,950.0,0.1
93,47,11,1,3200.0,0.0
94,47,20,1,3600.0,0.05
95,48,26,1,11800.0,0.05
96,48,19,5,4900.0,0.0
97,48,32,1,7300.0,0.0
98,49,40,3,26500.0,0.0
99,49,15,1,4500.0,0.0
100,49,29,3,56000.0,0.0
101,49,31,3,11200.0,0.0
102,50,5,2,142000.0,0.0
103,50,14,1,18900.0,0.1
104,51,30,3,6400.0,0.1
105,51,16,1,7600.0,0.0
106,52,19,1,4900.0,0.1
107,53,35,1,34000.0,0.0
108,53,31,1,11200.0,0.0
109,53,32,1,7300.0,0.05
110,54,5,1,142000.0,0.0
111,54,2,1,99000.0,0.0
112,55,3,1,118000.0,0.0
113,55,8,1,79000.0,0.1
114,55,11,2,3200.0,0.0
115,55,35,1,34000.0,0.0
116,56,8,1,79000.0,0.0
117,56,36,1,86000.0,0.05
118,57,12,1,6800.0,0.0
119,57,15,1,4500.0,0.0
120,57,6,2,27000.0,0.1
121,58,17,2,950.0,0.0
122,58,30,3,6400.0,0.1
123,58,39,1,10900.0,0.0
124,58,29,1,56000.0,0.0
125,59,13,1,11500.0,0.0
126,59,37,1,15400.0,0.0
127,60,9,2,13500.0,0.0
128,60,6,1,27000.0,0.0
129,60,8,2,79000.0,0.15
130,60,24,1,2900.0,0.0
131,61,21,3,450.0,0.0
132,61,7,1,48000.0,0.0
133,61,15,3,4500.0,0.0
134,61,12,3,6800.0,0.1
135,62,26,1,11800.0,0.0
136,62,18,1,2400.0,0.15
137,62,15,2,4500.0,0.0
138,63,21,1,450.0,0.0
139,63,6,1,27000.0,0.1
140,64,35,1,34000.0,0.0
141,64,34,1,1950.0,0.0
142,65,11,2,3200.0,0.0
143,65,36,1,86000.0,0.0
144,66,28,2,38000.0,0.15
145,66,32,1,7300.0,0.1
146,66,16,1,7600.0,0.0
147,67,16,1,7600.0,0.0
148,68,10,1,19900.0,0.0
149,68,38,1,2800.0,0.05
150,68,13,1,11500.0,0.0
151,69,7,1,48000.0,0.0
152,69,12,1,6800.0,0.05
153,69,30,1,6400.0,0.1
154,70,21,3,450.0,0.0
155,71,34,1,1950.0,0.0
156,71,14,2,18900.0,0.0
157,71,39,1,10900.0,0.1
158,71,31,2,11200.0,0.0
159,72,13,1,11500.0,0.0
160,73,27,2,23500.0,0.0
161,73,8,1,79000.0,0.0
162,74,15,1,4500.0,0.0
163,74,11,1,3200.0,0.0
164,75,14,1,18900.0,0.0
165,76,38,1,2800.0,0.0
166,77,28,1,38000.0,0.1
167,77,7,1,48000.0,0.15
168,78,34,1,1950.0,0.05
169,79,9,2,13500.0,0.1
170,80,35,1,34000.0,0.0
171,80,17,1,950.0,0.0
172,81,39,1,10900.0,0.0
173,81,9,1,13500.0,0.0
174,82,2,1,99000.0,0.0
175,82,38,1,2800.0,0.0
176,83,21,2,450.0,0.0
177,84,21,1,450.0,0.0
178,84,4,1,54000.0,0.05
179,85,38,1,2800.0,0.0
180,85,11,1,3200.0,0.0
181,85,20,1,3600.0,0.0
182,86,19,1,4900.0,0.0
183,86,30,1,6400.0,0.1
184,87,32,1,7300.0,0.1
185,87,21,1,450.0,0.05
186,87,27,1,23500.0,0.0
187,87,22,1,650.0,0.0
188,88,9,1,13500.0,0.0
189,88,14,1,18900.0,0.0
190,88,10,1,19900.0,0.05
191,89,31,1,11200.0,0.0
192,89,28,2,38000.0,0.15
193,89,29,1,56000.0,0.0
194,89,9,1,13500.0,0.0
195,90,12,2,6800.0,0.0
196,90,27,1,23500.0,0.0
197,91,30,5,6400.0,0.0
198,92,6,1,27000.0,0.0
199,92,2,1,99000.0,0.0
200,93,9,1,13500.0,0.0
201,94,13,1,11500.0,0.0
202,94,36,1,86000.0,0.1
203,94,34,1,1950.0,0.0
204,95,24,1,2900.0,0.0
205,95,10,1,19900.0,0.0
206,96,16,1,7600.0,0.0
207,96,29,1,56000.0,0.0
208,96,36,1,86000.0,0.05
209,97,16,1,7600.0,0.05
210,97,38,1,2800.0,0.0
211,97,4,1,54000.0,0.0
212,98,4,1,54000.0,0.0
213,98,30,1,6400.0,0.05
214,99,26,1,11800.0,0.15
215,99,27,3,23500.0,0.05
216,99,23,1,1800.0,0.1
217,100,27,5,23500.0,0.05
218,101,27,1,23500.0,0.0
219,101,23,1,1800.0,0.0
220,102,16,1,7600.0,0.0
221,102,30,2,6400.0,0.0
222,102,29,1,56000.0,0.0
223,103,29,1,56000.0,0.0
224,103,18,1,2400.0,0.0
225,103,9,1,13500.0,0.1
226,104,16,2,7600.0,0.1
227,104,32,1,7300.0,0.0
228,105,31,3,11200.0,0.0
229,106,11,1,3200.0,0.0
230,106,37,2,15400.0,0.0
231,106,12,3,6800.0,0.0
232,107,17,2,950.0,0.0
233,107,26,1,11800.0,0.0
234,107,21,2,450.0,0.0
235,108,7,1,48000.0,0.0
236,108,34,1,1950.0,0.1
237,108,6,1,27000.0,0.0
238,109,8,1,79000.0,0.0
239,109,30,1,6400.0,0.0
240,109,28,1,38000.0,0.0
241,109,14,1,18900.0,0.0
242,110,11,1,3200.0,0.0
243,111,30,2,6400.0,0.0
244,111,5,1,142000.0,0.0
245,111,37,1,15400.0,0.0
246,112,35,1,34000.0,0.0
247,112,32,1,7300.0,0.0
248,113,19,5,4900.0,0.0
249,114,5,1,142000.0,0.1
250,115,18,1,2400.0,0.05
251,115,23,2,1800.0,0.0
252,115,28,1,38000.0,0.0
253,116,3,1,118000.0,0.0
254,117,34,1,1950.0,0.1
255,117,30,3,6400.0,0.0
256,117,24,1,2900.0,0.0
257,117,23,1,1800.0,0.0
258,118,37,1,15400.0,0.05
259,119,32,1,7300.0,0.15
260,119,7,1,48000.0,0.0
261,119,27,1,21500.0,0.0
262,119,30,3,6400.0,0.1
263,120,32,3,7300.0,0.0
264,120,3,2,118000.0,0.0
265,121,38,1,2800.0,0.0
266,122,20,1,3600.0,0.0
267,123,23,1,1800.0,0.0
268,123,26,1,11800.0,0.1
269,123,21,2,450.0,0.0
270,124,23,2,1800.0,0.1
271,125,39,1,9900.0,0.0
272,125,38,1,2800.0,0.0
273,125,34,2,1950.0,0.0
274,126,12,1,6800.0,0.0
275,126,15,2,4500.0,0.0
276,127,20,1,3600.0,0.0
277,127,31,3,11200.0,0.05
278,127,29,1,56000.0,0.0
279,127,28,1,38000.0,0.1
280,128,35,1,34000.0,0.1
281,129,9,1,13500.0,0.05
282,130,29,2,56000.0,0.05
283,130,24,2,2900.0,0.0
284,130,21,1,450.0,0.1
285,131,1,1,62000.0,0.0
286,131,7,2,48000.0,0.0
287,131,11,3,3200.0,0.05
288,131,26,1,11800.0,0.05
289,132,23,1,1800.0,0.0
290,133,40,1,26500.0,0.0
291,133,16,1,7600.0,0.1
292,134,22,2,650.0,0.15
293,135,12,1,6800.0,0.05
294,136,36,1,86000.0,0.0
295,136,19,2,4900.0,0.0
296,136,14,1,18900.0,0.1
297,137,21,2,450.0,0.05
298,138,38,1,2800.0,0.15
299,139,24,1,2900.0,0.0
300,139,7,1,48000.0,0.0
301,139,23,1,1800.0,0.0
302,140,28,2,38000.0,0.0
303,141,21,1,450.0,0.0
304,141,31,1,11200.0,0.05
305,141,6,1,27000.0,0.0
306,141,24,1,2900.0,0.05
307,142,11,1,3200.0,0.0
308,143,18,1,2400.0,0.0
309,143,37,1,15400.0,0.0
310,143,26,2,11800.0,0.0
311,143,40,2,26500.0,0.1
312,144,26,1,11800.0,0.0
313,144,38,1,2800.0,0.0
314,144,39,1,9900.0,0.05
315,144,6,1,27000.0,0.0
316,145,9,1,13500.0,0.1
317,145,21,1,450.0,0.0
318,146,7,5,48000.0,0.0
319,146,27,5,21500.0,0.0
320,146,36,1,86000.0,0.1
321,146,34,2,1950.0,0.1
322,147,6,3,27000.0,0.1
323,148,9,1,13500.0,0.1
324,149,22,2,650.0,0.0
325,150,11,5,3200.0,0.15
326,151,23,2,1800.0,0.0
327,151,8,1,79000.0,0.0
328,152,19,2,4900.0,0.0
329,152,7,1,48000.0,0.05
330,152,36,1,86000.0,0.0
331,153,13,1,11500.0,0.1
332,153,17,1,950.0,0.0
333,153,29,1,56000.0,0.0
334,153,24,1,2900.0,0.0
335,154,31,1,11200.0,0.0
336,154,6,3,27000.0,0.1
337,155,17,1,950.0,0.0
338,155,22,1,650.0,0.0
339,156,27,1,21500.0,0.0
340,156,11,1,3200.0,0.0
341,156,14,2,18900.0,0.15
342,156,20,1,3600.0,0.0
343,157,28,1,38000.0,0.0
344,158,36,1,86000.0,0.1
345,159,4,2,54000.0,0.0
346,160,19,5,4900.0,0.0
347,161,12,1,6800.0,0.0
348,161,23,1,1800.0,0.0
349,162,38,1,2800.0,0.0
350,163,19,1,4900.0,0.0
351,164,27,1,21500.0,0.0
352,164,17,1,950.0,0.0
353,164,10,1,19900.0,0.0
354,165,34,1,1950.0,0.0
355,165,39,2,9900.0,0.1
356,165,29,1,56000.0,0.15
357,165,37,1,15400.0,0.1
358,166,13,1,11500.0,0.0
359,166,20,1,3600.0,0.0
360,167,39,1,9900.0,0.0
361,167,26,2,11800.0,0.0
362,167,3,3,118000.0,0.0
363,167,24,1,2900.0,0.0
364,168,26,1,11800.0,0.15
365,169,11,1,3200.0,0.0
366,169,26,5,11800.0,0.0
367,169,9,2,13500.0,0.0
368,169,38,2,2800.0,0.0
369,170,29,1,56000.0,0.0
370,171,20,2,3600.0,0.15
371,171,9,2,13500.0,0.0
372,171,35,1,34000.0,0.0
373,171,5,1,142000.0,0.0
374,172,29,1,56000.0,0.1
375,172,10,1,19900.0,0.0
376,173,31,2,11200.0,0.05
377,173,28,1,38000.0,0.0
378,174,37,1,15400.0,0.0
379,174,2,1,94000.0,0.05
380,175,5,2,142000.0,0.0
381,175,29,2,56000.0,0.0
382,175,6,1,27000.0,0.0
383,176,31,1,11200.0,0.05
384,177,28,3,38000.0,0.05
385,177,31,1,11200.0,0.0
386,178,23,1,1800.0,0.0
387,178,28,1,38000.0,0.0
388,178,9,2,13500.0,0.05
389,178,30,1,6400.0,0.0
390,179,23,1,1800.0,0.0
391,179,37,5,15400.0,0.1
392,179,35,1,34000.0,0.1
393,180,17,1,950.0,0.15
394,180,18,1,2400.0,0.0
395,181,18,1,2400.0,0.05
396,181,6,1,27000.0,0.0
397,182,31,1,11200.0,0.0
398,183,20,5,3600.0,0.0
399,184,12,1,6800.0,0.05
400,184,31,3,11200.0,0.0
401,184,32,1,7300.0,0.0
402,185,31,1,11200.0,0.0
403,185,30,1,6400.0,0.05
404,185,18,1,2400.0,0.0
405,186,27,1,21500.0,0.15
406,186,40,1,26500.0,0.0
407,187,15,1,4500.0,0.1
408,188,5,2,142000.0,0.1
409,188,19,1,4900.0,0.0
410,189,14,1,18900.0,0.15
411,189,37,5,15400.0,0.0
412,189,38,1,2800.0,0.1
413,190,37,1,15400.0,0.1
414,191,24,1,2900.0,0.0
415,191,32,5,7300.0,0.0
416,191,30,1,6400.0,0.0
417,191,21,3,450.0,0.0
418,192,38,1,2800.0,0.1
419,193,20,1,3600.0,0.0
420,193,2,1,94000.0,0.0
421,194,26,1,11800.0,0.05
422,195,10,1,19900.0,0.15
423,195,1,1,62000.0,0.0
424,195,7,1,48000.0,0.05
425,196,14,1,18900.0,0.1
426,196,28,1,38000.0,0.0
427,197,11,1,3200.0,0.0
428,198,12,3,6800.0,0.0
429,198,39,1,9900.0,0.0
430,198,32,2,7300.0,0.05
431,199,9,1,13500.0,0.05
432,200,17,2,950.0,0.0
433,201,11,2,3200.0,0.0
434,202,16,1,7600.0,0.0
435,202,24,1,2900.0,0.05
436,202,15,1,4500.0,0.0
437,202,6,1,27000.0,0.0
438,203,23,1,1800.0,0.05
439,204,12,1,6800.0,0.0
440,204,32,3,7300.0,0.1
441,204,8,2,79000.0,0.1
442,204,15,2,4500.0,0.05
443,205,11,1,3200.0,0.0
444,206,38,1,2800.0,0.05
445,206,23,1,1800.0,0.0
446,207,37,2,15400.0,0.1
447,208,39,1,9900.0,0.0
448,208,14,1,18900.0,0.0
449,209,10,2,19900.0,0.1
450,209,19,1,4900.0,0.0
451,210,30,1,6400.0,0.0
452,210,24,1,2900.0,0.0
453,210,32,2,7300.0,0.0
454,210,19,1,4900.0,0.0
455,211,28,2,38000.0,0.0
456,211,32,2,7300.0,0.1
457,212,9,1,13500.0,0.0
458,212,16,1,7600.0,0.0
459,212,5,5,142000.0,0.15
460,212,3,1,118000.0,0.15
461,213,38,1,2800.0,0.05
462,213,16,5,7600.0,0.0
463,213,9,5,13500.0,0.0
464,214,32,1,7300.0,0.05
465,214,21,2,450.0,0.0
466,214,37,3,15400.0,0.05
467,214,24,3,2900.0,0.0
468,215,35,1,34000.0,0.0
469,215,10,1,19900.0,0.0
470,216,11,1,3200.0,0.0
471,216,12,5,6800.0,0.0
472,216,1,1,62000.0,0.1
473,217,34,2,1950.0,0.0
474,217,28,2,38000.0,0.0
475,217,18,1,2400.0,0.0
476,218,19,1,4900.0,0.05
477,218,40,5,26500.0,0.1
478,219,23,1,1800.0,0.0
479,219,14,1,18900.0,0.0
480,220,38,2,2800.0,0.0
481,220,37,1,15400.0,0.0
482,221,29,2,56000.0,0.0
483,221,7,1,48000.0,0.0
484,221,2,2,94000.0,0.05
485,222,31,1,11200.0,0.0
486,222,6,1,27000.0,0.0
487,222,3,1,118000.0,0.0
488,223,28,1,38000.0,0.0
489,223,5,1,142000.0,0.0
490,223,37,1,15400.0,0.05
491,223,35,2,34000.0,0.1
492,224,10,1,19900.0,0.1
493,225,36,1,86000.0,0.0
494,225,1,1,62000.0,0.0
495,225,3,3,118000.0,0.0
496,226,18,1,2400.0,0.05
497,226,13,5,11500.0,0.0
498,226,30,3,6400.0,0.0
499,226,3,1,118000.0,0.0
500,227,3,2,118000.0,0.1
501,227,26,3,11800.0,0.0
502,227,37,1,15400.0,0.1
503,228,17,1,950.0,0.0
504,228,2,1,94000.0,0.0
505,228,28,2,38000.0,0.0
506,229,38,1,2800.0,0.15
507,230,31,1,11200.0,0.05
508,230,18,2,2400.0,0.1
509,231,36,1,86000.0,0.0
510,231,6,1,27000.0,0.0
511,231,23,1,1800.0,0.0
512,232,19,2,4900.0,0.1
513,232,4,1,54000.0,0.05
514,232,20,1,3600.0,0.05
515,233,8,1,79000.0,0.1
516,234,17,1,950.0,0.1
517,234,38,2,2800.0,0.0
518,234,28,2,38000.0,0.05
519,234,9,1,13500.0,0.0
520,235,31,1,11200.0,0.0
521,235,27,1,21500.0,0.05
522,235,1,1,62000.0,0.0
523,235,4,1,54000.0,0.0
524,236,15,1,4500.0,0.15
525,237,29,2,56000.0,0.0
526,238,16,1,7600.0,0.15
527,238,30,1,6400.0,0.1
528,238,6,1,27000.0,0.0
529,239,20,1,3600.0,0.0
530,239,23,1,1800.0,0.0
531,240,20,2,3600.0,0.0
532,240,22,1,650.0,0.0
533,240,31,1,11200.0,0.0
534,240,3,1,118000.0,0.0
535,241,4,1,54000.0,0.1
536,241,14,2,18900.0,0.1
537,242,6,3,27000.0,0.0
538,242,23,1,1800.0,0.05
539,243,3,1,118000.0,0.0
540,243,20,1,3600.0,0.05
541,243,13,1,11500.0,0.0
542,243,21,2,450.0,0.0
543,244,21,1,450.0,0.0
544,245,1,3,62000.0,0.0
545,245,32,1,7300.0,0.0
546,245,17,1,950.0,0.05
547,246,19,1,4900.0,0.0
548,246,12,1,6800.0,0.1
549,246,2,1,94000.0,0.0
550,247,26,1,11800.0,0.0
551,247,20,1,3600.0,0.0
552,248,26,1,11800.0,0.0
553,248,30,1,6400.0,0.0
554,248,12,1,6800.0,0.15
555,249,35,5,34000.0,0.0
556,249,27,1,21500.0,0.0
557,249,40,1,26500.0,0.0
558,249,24,1,2900.0,0.05
559,250,14,1,18900.0,0.1
560,250,15,1,4500.0,0.0
561,250,26,1,11800.0,0.0
562,250,24,2,2900.0,0.0
563,251,23,1,1800.0,0.0
564,251,34,1,1950.0,0.05
565,251,14,1,18900.0,0.0
566,251,21,1,450.0,0.0
567,252,32,1,7300.0,0.0
568,253,2,1,94000.0,0.0
569,253,12,5,6800.0,0.0
570,253,13,1,11500.0,0.0
571,253,9,1,13500.0,0.0
572,254,22,1,650.0,0.0
573,254,36,1,86000.0,0.0
574,255,29,1,56000.0,0.0
575,256,13,1,11500.0,0.1
576,256,6,1,27000.0,0.0
577,257,38,1,2800.0,0.0
578,257,4,1,54000.0,0.0
579,257,22,1,650.0,0.0
580,257,15,5,4500.0,0.1
581,258,8,1,79000.0,0.0
582,258,4,2,54000.0,0.0
583,259,13,1,11500.0,0.0
584,259,18,1,2400.0,0.0
585,260,14,2,18900.0,0.0
586,260,35,2,34000.0,0.0
587,261,19,1,4900.0,0.05
588,261,3,2,118000.0,0.0
589,262,8,1,79000.0,0.0
590,262,37,1,15400.0,0.0
591,263,40,1,26500.0,0.0
592,263,32,1,7300.0,0.0
593,263,18,1,2400.0,0.1
594,264,24,2,2900.0,0.05
595,264,7,1,48000.0,0.15
596,265,14,1,18900.0,0.05
597,265,22,1,650.0,0.05
598,266,34,1,1950.0,0.05
599,267,4,2,54000.0,0.05
600,268,32,2,7300.0,0.1
601,268,35,3,34000.0,0.0
602,268,21,2,450.0,0.0
603,269,31,1,11200.0,0.0
604,269,9,1,13500.0,0.0
605,269,16,1,7600.0,0.0
606,270,4,5,54000.0,0.0
607,270,10,1,19900.0,0.05
608,271,31,1,11200.0,0.0
609,271,9,1,13500.0,0.0
610,272,9,2,13500.0,0.0
611,273,31,1,11200.0,0.0
612,273,17,5,950.0,0.0
613,273,22,1,650.0,0.15
614,274,8,1,79000.0,0.15
615,274,35,1,34000.0,0.0
616,274,37,1,15400.0,0.0
617,274,13,2,11500.0,0.0
618,275,5,3,142000.0,0.0
619,275,12,1,6800.0,0.0
620,276,4,1,54000.0,0.1
621,276,29,3,56000.0,0.0
622,276,9,1,13500.0,0.0
623,277,28,1,38000.0,0.0
624,278,31,1,11200.0,0.0
625,278,38,2,2800.0,0.0
626,279,40,1,26500.0,0.15
627,280,2,1,94000.0,0.0
628,280,1,1,62000.0,0.0
629,281,35,1,34000.0,0.0
630,282,37,1,15400.0,0.15
631,282,39,1,9900.0,0.15
632,283,32,3,7300.0,0.0
633,283,30,1,6400.0,0.0
634,284,36,1,86000.0,0.0
635,285,19,1,4900.0,0.0
636,285,40,1,26500.0,0.1
637,285,6,1,27000.0,0.0
638,286,34,1,1950.0,0.1
639,286,8,2,79000.0,0.0
640,286,26,5,11800.0,0.0
641,287,15,1,4500.0,0.15
642,288,11,1,3200.0,0.0
643,289,36,1,86000.0,0.05
644,289,21,2,450.0,0.0
645,290,21,1,450.0,0.0
646,290,29,1,56000.0,0.0
647,291,7,1,48000.0,0.15
648,292,4,2,54000.0,0.0
649,292,39,3,9900.0,0.05
650,292,18,2,2400.0,0.0
651,292,26,3,11800.0,0.0
652,293,13,1,11500.0,0.1
653,293,28,1,38000.0,0.1
654,293,30,1,6400.0,0.1
655,294,38,3,2800.0,0.0
656,295,36,1,86000.0,0.0
657,295,31,1,11200.0,0.1
658,295,2,2,94000.0,0.05
659,295,19,1,4900.0,0.0
660,296,40,1,26500.0,0.0
661,297,34,1,1950.0,0.1
662,297,4,5,54000.0,0.1
663,297,19,1,4900.0,0.05
664,298,21,1,450.0,0.05
665,298,35,1,34000.0,0.0
666,298,26,2,11800.0,0.0
667,298,2,1,94000.0,0.0
668,299,22,1,650.0,0.0
669,299,23,1,1800.0,0.0
670,299,16,1,7600.0,0.0
671,299,32,1,7300.0,0.05
672,300,2,1,94000.0,0.0
673,300,35,1,34000.0,0.1
